
-------------------------------G4_Ar
-------------------------------pi+
### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  446        2917      0.2721      0.5258       0.7979
  447        2985      0.2697      0.5241       0.7938
  448        3055      0.2681      0.5233       0.7914
  449        3126      0.2667      0.5228       0.7895
  450        3199      0.2652      0.5222       0.7875
  451        3273      0.2638      0.5217       0.7854
  452        3350      0.2622      0.5211       0.7833
  453        3428      0.2607      0.5205       0.7812
  454        3508      0.2591      0.5199        0.779
  455        3589      0.2575      0.5193       0.7768
  456        3673      0.2558      0.5187       0.7745
  457        3758      0.2541       0.518       0.7722
  458        3846      0.2524      0.5174       0.7698
  459        3936      0.2506      0.5167       0.7673
  460        4027      0.2488       0.516       0.7648
  461        4121      0.2469      0.5153       0.7622
  462        4217       0.245      0.5146       0.7596
  463        4315       0.243      0.5139       0.7569
  464        4416       0.241      0.5131       0.7542
  465        4519       0.239      0.5123       0.7513
  466        4624      0.2369      0.5115       0.7485
  467        4732      0.2348      0.5107       0.7455
  468        4842      0.2326      0.5099       0.7425
  469        4955      0.2303      0.5091       0.7394
  470        5070      0.2292      0.5084       0.7377
  471        5188      0.2289      0.5079       0.7368
  472        5309      0.2286      0.5074        0.736
  473        5433      0.2283      0.5068       0.7351
  474        5559       0.228      0.5063       0.7343
  475        5689      0.2276      0.5057       0.7333
  476        5821      0.2273      0.5051       0.7324
  477        5957       0.227      0.5045       0.7315
  478        6095      0.2266      0.5039       0.7305
  479        6237      0.2262      0.5033       0.7295
  480        6383      0.2259      0.5027       0.7285
  481        6531      0.2255       0.502       0.7275
  482        6683      0.2251      0.5013       0.7264
  483        6839      0.2247      0.5006       0.7253
  484        6998      0.2243      0.4999       0.7242
  485        7161      0.2238      0.4992       0.7231
  486        7328      0.2234      0.4985       0.7219
  487        7499       0.223      0.4977       0.7207
  488        7674      0.2225       0.497       0.7195
